Time,cellID,x,y
79.3,0,151.257,-6.13199
79.4,0,151.256,-6.51452
79.5,0,151.527,-6.33025
79.6,0,151.461,-6.06027
79.7,0,151.65,-5.9354
79.8,0,151.88,-5.96569
79.9,0,151.996,-5.77066
80,0,152.19,-5.70168
80.1,0,152.11,-5.44812
80.2,0,152.108,-5.24808
80.3,0,152.182,-5.63866
80.4,0,152.261,-5.26036
80.5,0,152.257,-5.05573
80.6,0,152.334,-4.86803
80.7,0,152.429,-4.69067
80.8,0,152.68,-4.85069
80.9,0,152.683,-4.54521
81,0,152.94,-4.71389
81.1,0,153.006,-4.94082
81.2,0,153.078,-5.12918
81.3,0,153.319,-5.13947
81.4,0,153.259,-4.80781
81.5,0,153.372,-5.17994
81.6,0,153.6,-5.22132
81.7,0,153.802,-5.10745
81.8,0,153.967,-4.98589
81.9,0,154.18,-5.04931
82,0,154.117,-4.7466
82.1,0,154.244,-5.11122
82.2,0,154.494,-5.06949
82.3,0,154.398,-4.75392
82.4,0,154.688,-4.78216
82.5,0,154.793,-5.02847
82.6,0,154.726,-4.65434
82.7,0,154.981,-4.59764
82.8,0,155.01,-4.92733
82.9,0,155.258,-4.7424
83,0,155.412,-4.60672
83.1,0,155.538,-4.87735
83.2,0,155.583,-4.52833
83.3,0,155.653,-4.34089
83.4,0,155.821,-4.65408
83.5,0,156.032,-4.47152
83.6,0,156.004,-4.80079
83.7,0,156.244,-4.84989
83.8,0,156.385,-4.99527
83.9,0,156.369,-4.63644
84,0,156.503,-4.47739
84.1,0,156.696,-4.38911
84.2,0,156.827,-4.23538
84.3,0,156.761,-4.60593
84.4,0,157.02,-4.65454
84.5,0,157.202,-4.73863
84.6,0,157.363,-4.52937
84.7,0,157.57,-4.65793
84.8,0,157.773,-4.63844
84.9,0,157.753,-4.34767
85,0,157.787,-4.73783
85.1,0,158.015,-4.80925
85.2,0,158.196,-4.89474
85.3,0,158.261,-4.58947
85.4,0,158.27,-4.96938
85.5,0,158.542,-4.94093
85.6,0,158.734,-4.83873
85.7,0,158.714,-4.57496
85.8,0,158.725,-4.9695
85.9,0,158.882,-5.11824
86,0,159.118,-4.96836
86.1,0,159.204,-4.75393
86.2,0,159.443,-4.8268
86.3,0,159.639,-4.87633
86.4,0,159.808,-4.72407
86.5,0,159.913,-4.54105
86.6,0,160.141,-4.55197
86.7,0,160.343,-4.56503
86.8,0,160.428,-4.33118
86.9,0,160.59,-4.21039
87,0,160.809,-4.21734
87.1,0,161.008,-4.28291
87.2,0,161.194,-4.17397
87.3,0,161.228,-3.93444
87.4,0,161.333,-4.28597
87.5,0,161.526,-4.02175
87.6,0,161.544,-4.3639
